Ticker,Description
SSYS,"Stratasys, Ltd."
FEYE,"FireEye, Inc."
SHOP,Shopify Inc.
TWTR,"Twitter, Inc."
ALGN,Align Technology
TEAM,Atlassian Corporation Plc
FIVN,"Five9, Inc."
BRKS,"Brooks Automation, Inc."
DATA,"Tableau Software, Inc."
PCTY,Paylocity Holding Corporation
RNG,"Ringcentral, Inc."
LRCX,Lam Research Corporation
SPXC,SPX Corporation
MOMO,Momo Inc.
NOK,Nokia Corporation
MDSO,"Medidata Solutions, Inc."
TRUE,"TrueCar, Inc."
SQ,"Square, Inc."
ZNGA,Zynga Inc.
HUBS,"HubSpot, Inc."
FSLR,"First Solar, Inc."
MTCH,"Match Group, Inc."
DDD,3D Systems Corporation
ANSS,"ANSYS, Inc."
PYPL,Paypal
QLYS,"Qualys, Inc."
PAYC,"Paycom Software, Inc."
JOBS,"51job, Inc."
WDC,Western Digital Corporation
IMPV,"Imperva, Inc."
SABR,Sabre Corporation
SIMO,Silicon Motion Technology Corporation
CVLT,"Commvault Systems, Inc."
WUBA,58.com Inc.
CERN,Cerner Corporation
VIAV,Viavi Solutions Inc.
NOW,"ServiceNow, Inc."
VECO,Veeco Instruments Inc.
ACIW,"ACI Worldwide, Inc."
ANET,"Arista Networks, Inc."
RPD,Rapid7
LOGI,Logitech International S.A.
MIME,Mimecast Limited
INXN,InterXion Holding N.V.
AYA,Amaya Inc.
IPGP,IPG Photonics Corporation
VEEV,Veeva Systems Inc.
TSLA,Tesla
WB,Weibo Corporation
YY,YY Inc.
GOOGL,Alphabet Inc.
TTWO,"Take-Two Interactive Software, Inc."
NEWR,"New Relic, Inc."
GOOG,Alphabet Inc.
ETSY,ETSY
BL,Blackline
ATVI,"Activision Blizzard, Inc"
PSTG,"Pure Storage, Inc."
ILMN,Illumina
SFLY,Shutterfly
FLOW,"SPX FLOW, Inc."
PLUS,ePlus inc.
WDAY,"Workday, Inc."
BOX,"Box, Inc."
STM,STMicroelectronics N.V.
COUP,Coupa Software Incorporated
WBT,"Welbilt, Inc."
ULTI,"The Ultimate Software Group, Inc."
ALRM,"Alarm.com Holdings, Inc."
SINA,Sina Corporation
AMAT,"Applied Materials, Inc."
INOV,"Inovalon Holdings, Inc."
JNPR,"Juniper Networks, Inc."
INST,Instructure
SPLK,Splunk Inc.
ASGN,"On Assignment, Inc."
SFUN,Fang Holdings Limited
SYNT,"Syntel, Inc."
TRIP,"TripAdvisor, Inc."
EPAM,"EPAM Systems, Inc."
XLNX,"Xilinx, Inc."
PNR,Pentair plc.
BKFS,"Black Knight Financial Services, Inc."
DXC,DXC Technology Company
JCOM,"j2 Global, Inc."
ADSK,"Autodesk, Inc."
TWOU,"2U, Inc."
SYNA,Synaptics Incorporated
CTSH,Cognizant Technology Solutions Corporation
LTRPB,"Liberty TripAdvisor Holdings, Inc."
ATHM,Autohome Inc.
OSIS,"OSI Systems, Inc."
